,BIOGRAPHICAL INFORMATION,,,,,,,,,,,,,,TEST SCORES,,,,,,,,,,,,,,,OUTPUT
398,ZlS,21,SEP,Y7,A,A,77.6,90.33,Y14,Y16,X,B,68.4,Y20,41.50943396,64.33121019,63.63636364,66.87116564,36.06557377,46.10778443,57.54189944,63.00578035,32.14285714,58.27338129,50.34482759,50.3649635,74.54545455,58.2278481,88.50574713,BP
399,VaS,23,AUG,Y8,B,C,87.5,96.2,Y14,Y16,X,B,82.06,Y20,30.18867925,74.52229299,56.36363636,55.82822086,59.01639344,76.04790419,62.01117318,75.72254335,58.92857143,65.4676259,69.65517241,81.02189781,47.27272727,70.88607595,35.63218391,BP
400,AlB,9,APR,Y8,A,C,85.6,95.8,Y14,Y16,X,B,86.24,Y20,73.58490566,74.52229299,78.18181818,87.73006135,60.6557377,74.8502994,73.18435754,52.60115607,57.14285714,81.29496403,64.13793103,70.80291971,81.81818182,70.88607595,88.50574713,BP
401,RaT,12,MAY,Y8,A,C,87.8,97.6,Y14,Y16,X,B,91.7,Y20,58.49056604,64.33121019,69.6969697,73.00613497,77.04918033,84.43113772,57.54189944,76.87861272,76.78571429,76.97841727,87.5862069,76.64233577,83.63636364,86.07594937,83.90804598,BP
402,NlM,12,DEC,Y7,A,E,88,86,Y14,Y16,X,B,72,Y20,64.1509434,79.61783439,75.75757576,73.00613497,63.93442623,79.64071856,69.83240223,64.16184971,50,72.6618705,64.13793103,60.58394161,58.18181818,81.01265823,49.42528736,BP
403,ShK,13,JAN,Y7,A,C,89.17,93.9,Y14,Y16,X,B,79.74,Y20,18.86792453,83.43949045,56.36363636,53.37423313,68.85245902,84.43113772,57.54189944,83.8150289,51.78571429,74.10071942,60,69.34306569,52.72727273,81.01265823,40.22988506,BP
404,MaH,11,DEC,Y7,B,A,92.5,90,Y14,Y16,X,B,82.4,Y20,43.39622642,65.60509554,64.84848485,66.87116564,36.06557377,66.46706587,43.01675978,59.53757225,41.07142857,55.39568345,58.62068966,73.72262774,56.36363636,63.29113924,54.02298851,BP
405,EhB,21,NOV,Y7,B,D,91,73.5,Y14,Y16,X,B,82.2,Y20,69.81132075,89.8089172,58.78787879,73.00613497,16.39344262,58.08383234,50.83798883,53.75722543,37.5,59.71223022,50.34482759,73.72262774,36.36363636,53.16455696,44.82758621,LP
406,DaJ,8,APR,Y7,B,E,88.8,90.5,Y14,Y16,X,B,75.1,Y20,54.71698113,66.87898089,70.90909091,66.87116564,40.98360656,62.8742515,69.83240223,54.9132948,51.78571429,66.90647482,53.10344828,82.48175182,67.27272727,58.2278481,72.4137931,BP
407,BaN,15,JAN,Y8,B,D,90.54,89.91,Y14,Y16,X,B,81.3,Y20,54.71698113,83.43949045,62.42424242,68.09815951,27.86885246,65.26946108,45.25139665,60.69364162,44.64285714,65.4676259,53.10344828,70.80291971,63.63636364,88.60759494,54.02298851,BP
408,KiS,16,MAY,Y8,B,C,88.2,94.9,Y14,Y16,X,B,89.7,Y20,58.49056604,74.52229299,67.27272727,81.59509202,63.93442623,77.24550898,67.59776536,73.41040462,69.64285714,78.41726619,79.31034483,69.34306569,81.81818182,78.48101266,81.6091954,BP
410,HaP,10,DEC,Y7,B,A,92.2,71.4,Y14,Y16,X,B,81.6,Y20,79.24528302,89.8089172,86.66666667,59.50920245,45.90163934,59.28143713,62.01117318,64.16184971,50,69.78417266,57.24137931,72.26277372,70.90909091,93.67088608,56.32183908,BP
415,GhA,11,MAY,Y7,A,D,83.2,79.2,Y14,Y16,X,L,65.6,Y20,60.37735849,69.42675159,76.96969697,69.32515337,16.39344262,50.89820359,38.54748603,59.53757225,30.35714286,56.83453237,35.17241379,69.34306569,58.18181818,88.60759494,44.82758621,LP
417,MaM,15,NOV,Y6,B,E,80,77.66,Y13,Y15,X,B,62,Y20,33.96226415,64.33121019,67.27272727,53.37423313,34.42622951,49.7005988,62.01117318,51.44508671,39.28571429,64.02877698,50.34482759,66.42335766,56.36363636,63.29113924,54.02298851,LP
418,RaT,14,APR,Y8,A,C,80.67,92.9,Y14,Y16,X,B,86.93,Y20,56.60377358,66.87898089,63.63636364,74.23312883,78.68852459,77.24550898,82.12290503,84.97109827,83.92857143,94.24460432,69.65517241,94.16058394,89.09090909,93.67088608,83.90804598,BP
420,KdT,19,APR,Y7,A,D,87,88.33,Y14,Y16,X,L,66.51,Y20,32.0754717,66.87898089,64.84848485,49.69325153,32.78688525,46.10778443,53.0726257,61.84971098,30.35714286,43.88489209,60,59.12408759,43.63636364,60.75949367,37.93103448,MP
421,SnK,11,JUL,Y8,B,A,92,89,Y14,Y16,X,B,87.6,Y20,56.60377358,75.79617834,61.21212121,77.91411043,44.26229508,58.08383234,65.36312849,60.69364162,44.64285714,59.71223022,61.37931034,69.34306569,78.18181818,91.13924051,74.71264368,BP
424,MiN,15,MAY,Y8,B,E,78.88,86.33,Y14,Y16,X,B,80.11,Y20,54.71698113,64.33121019,60,80.36809816,45.90163934,55.68862275,60.89385475,65.31791908,37.5,61.15107914,47.5862069,67.88321168,60,70.88607595,56.32183908,MP
427,AhA,11,JUN,Y7,A,A,81.81,72.16,Y14,Y16,X,C,60.4,Y20,52.83018868,61.78343949,63.63636364,73.00613497,13.1147541,55.68862275,37.4301676,52.60115607,28.57142857,52.51798561,44.82758621,54.74452555,70.90909091,63.29113924,74.71264368,MP
429,SpB,19,JAN,Y7,A,E,89.44,89.66,Y14,Y16,X,L,74.44,Y20,50.94339623,84.7133758,62.42424242,61.96319018,42.62295082,48.50299401,73.18435754,52.60115607,23.21428571,43.88489209,44.82758621,66.42335766,80,86.07594937,74.71264368,MP
431,BuK,16,NOV,Y6,A,E,80.2,74.6,Y14,Y16,X,B,63.05,Y20,52.83018868,73.24840764,62.42424242,69.32515337,31.14754098,48.50299401,50.83798883,56.06936416,30.35714286,55.39568345,51.72413793,54.74452555,38.18181818,53.16455696,33.33333333,MP
432,AyR,17,FEB,Y8,A,D,75.33,70.17,Y14,Y16,X,B,66.2,Y20,26.41509434,74.52229299,52.72727273,57.05521472,MD,62.8742515,60.89385475,67.6300578,19.64285714,41.00719424,51.72413793,51.82481752,MD,81.01265823,49.42528736,BP
433,RnM,13,DEC,Y6,A,D,85,82.2,Y14,Y16,X,B,73,Y20,49.05660377,63.05732484,64.84848485,71.7791411,47.54098361,60.47904192,62.01117318,67.6300578,39.28571429,66.90647482,58.62068966,53.28467153,61.81818182,68.35443038,60.91954023,BP
435,PnM,16,MAY,Y8,B,N,67.2,91.25,Y14,Y16,X,C,80.4,Y20,52.83018868,69.42675159,67.27272727,69.32515337,18.03278689,46.10778443,41.89944134,53.75722543,37.5,59.71223022,47.5862069,62.04379562,56.36363636,40.50632911,63.2183908,BP
437,SiS,16,JUN,Y7,B,N,88.6,85.8,Y14,Y16,X,B,84.3,Y20,69.81132075,74.52229299,80.60606061,77.91411043,52.45901639,77.24550898,72.06703911,56.06936416,71.42857143,92.8057554,57.24137931,83.94160584,92.72727273,70.88607595,100,BP
439,AjM,13,SEP,Y7,A,E,78.24,80,Y14,Y16,X,L,71.33,Y20,35.8490566,64.33121019,57.57575758,61.96319018,24.59016393,46.10778443,49.72067039,52.60115607,30.35714286,56.83453237,50.34482759,47.44525547,69.09090909,63.29113924,70.11494253,MP
440,KhM,13,JAN,Y8,A,B,83.2,74.2,Y14,Y16,X,B,74.2,Y20,75.47169811,66.87898089,74.54545455,87.73006135,42.62295082,64.07185629,67.59776536,80.34682081,71.42857143,87.05035971,68.27586207,85.40145985,81.81818182,86.07594937,79.31034483,BP
441,RiS,18,NOV,Y6,B,E,92.48,90.48,Y14,Y18,X,J,73.11,Y20,52.83018868,73.24840764,68.48484848,65.64417178,57.37704918,77.24550898,60.89385475,80.34682081,48.21428571,69.78417266,66.89655172,69.34306569,50.90909091,65.82278481,44.82758621,MP
442,SaG,13,AUG,Y8,B,A,82.72,90.25,Y14,Y16,X,C,80,Y20,58.49056604,79.61783439,70.90909091,60.73619632,29.50819672,50.89820359,50.83798883,54.9132948,42.85714286,74.10071942,54.48275862,54.74452555,70.90909091,37.97468354,86.20689655,BP
444,AtN,11,FEB,Y8,A,F,80,60.4,Y14,Y16,X,B,64.7,Y20,79.24528302,84.7133758,86.66666667,82.82208589,54.09836066,70.05988024,67.59776536,67.6300578,39.28571429,66.90647482,65.51724138,47.44525547,87.27272727,81.01265823,90.8045977,BP
445,JnN,8,JAN,Y7,A,D,86.6,87.4,Y14,Y16,X,L,83.1,Y20,49.05660377,65.60509554,66.06060606,66.87116564,36.06557377,49.7005988,56.42458101,64.16184971,46.42857143,74.10071942,64.13793103,59.12408759,74.54545455,60.75949367,79.31034483,BP
447,DiV,13,APR,Y7,B,D,88.66,75,Y13,Y15,X,B,64.53,Y20,49.05660377,54.14012739,72.12121212,70.55214724,47.54098361,52.09580838,67.59776536,52.60115607,33.92857143,53.95683453,46.20689655,64.96350365,38.18181818,60.75949367,31.03448276,MP
449,ErS,11,JAN,Y4,A,A,78.5,75.23,Y10,Y13,X,K,73.4,Y20,43.39622642,65.60509554,61.21212121,63.19018405,22.95081967,55.68862275,57.54189944,52.60115607,41.07142857,85.61151079,36.55172414,60.58394161,67.27272727,45.56962025,81.6091954,BP
450,AaA,12,JUL,Y7,B,D,84.5,76.2,Y14,Y16,X,B,73.5,Y20,90.56603774,64.33121019,73.33333333,92.63803681,44.26229508,56.88622754,59.77653631,67.6300578,51.78571429,72.6618705,58.62068966,73.72262774,67.27272727,63.29113924,77.01149425,MP
451,VlS,10,FEB,Y8,A,D,95.83,90.5,Y14,Y16,X,B,66.69,Y20,71.69811321,71.97452229,73.33333333,82.82208589,32.78688525,67.66467066,55.30726257,60.69364162,51.78571429,66.90647482,71.03448276,63.50364964,63.63636364,91.13924051,51.72413793,BP
452,PaP,17,NOV,Y7,B,K,84.6,83,Y14,Y16,X,B,78.6,Y20,86.79245283,80.89171975,87.87878788,82.82208589,50.81967213,66.46706587,63.12849162,61.84971098,35.71428571,65.4676259,44.82758621,60.58394161,70.90909091,73.41772152,70.11494253,MD
453,SaS,21,JUL,Y7,A,E,73,85.33,Y14,Y16,X,B,71,Y20,28.30188679,59.23566879,60,59.50920245,39.3442623,59.28143713,54.18994413,64.16184971,44.64285714,68.34532374,53.10344828,75.18248175,74.54545455,60.75949367,86.20689655,BP
455,MdS,18,OCT,Y7,A,D,89.4,74.4,Y14,Y16,X,B,65.71,Y20,60.37735849,70.70063694,62.42424242,79.14110429,21.31147541,47.30538922,68.7150838,51.44508671,55.35714286,78.41726619,55.86206897,79.5620438,70.90909091,70.88607595,70.11494253,BP
460,KuK,17,DEC,Y7,B,K,84.6,82.8,Y14,Y16,X,B,80.4,Y20,75.47169811,70.70063694,85.45454545,58.28220859,62.29508197,58.08383234,67.59776536,61.84971098,53.57142857,79.85611511,55.86206897,72.26277372,80,86.07594937,72.4137931,BP
461,HnR,9,FEB,Y7,B,A,84.82,80,Y13,Y15,X,C,80.7,Y20,90.56603774,97.4522293,96.36363636,77.91411043,32.78688525,52.09580838,48.60335196,68.78612717,50,66.90647482,66.89655172,66.42335766,80,86.07594937,74.71264368,BP
465,LnG,10,JUL,Y7,B,Q,76.16,75.55,Y13,Y15,X,B,72.7,Y20,62.26415094,77.07006369,55.15151515,79.14110429,34.42622951,58.08383234,74.30167598,51.44508671,64.28571429,85.61151079,60,81.02189781,78.18181818,73.41772152,81.6091954,BP
466,SmM,10,SEP,Y7,A,A,81.6,91.5,Y14,Y16,X,B,63.7,Y20,79.24528302,84.7133758,86.66666667,59.50920245,32.78688525,54.49101796,65.36312849,50.28901734,37.5,58.27338129,42.06896552,75.18248175,58.18181818,55.69620253,60.91954023,BP
469,SaV,16,NOV,Y7,B,A,85,92.5,Y14,Y16,X,B,74.8,Y20,81.13207547,91.08280255,86.66666667,82.82208589,44.26229508,55.68862275,58.65921788,63.00578035,42.85714286,56.83453237,61.37931034,69.34306569,43.63636364,68.35443038,33.33333333,LP
471,ViG,11,JUL,Y8,A,C,87.33,90.3,Y14,Y16,X,B,70.88,Y20,75.47169811,78.34394904,84.24242424,75.4601227,54.09836066,76.04790419,74.30167598,58.38150289,64.28571429,79.85611511,83.44827586,60.58394161,72.72727273,75.94936709,72.4137931,BP
472,JaT,15,SEP,Y7,B,D,82.8,76,Y14,Y16,X,B,66,Y20,62.26415094,64.33121019,76.96969697,69.32515337,49.18032787,66.46706587,57.54189944,63.00578035,42.85714286,65.4676259,58.62068966,60.58394161,60,25.3164557,72.4137931,BP
473,AiP,15,SEP,Y7,B,A,94.6,91,Y14,Y16,X,B,71.08,Y20,81.13207547,89.8089172,86.66666667,90.18404908,50.81967213,74.8502994,64.24581006,80.34682081,58.92857143,74.10071942,62.75862069,79.5620438,83.63636364,91.13924051,77.01149425,BP
474,DaG,9,OCT,Y6,B,J,89,71,Y13,Y15,X,B,65.6,Y20,83.01886792,65.60509554,89.09090909,58.28220859,42.62295082,74.8502994,58.65921788,61.84971098,41.07142857,59.71223022,58.62068966,66.42335766,87.27272727,81.01265823,88.50574713,BP
476,PkJ,13,SEP,Y7,A,V,84,83,Y14,Y16,X,B,79.1,Y20,52.83018868,69.42675159,67.27272727,70.55214724,44.26229508,68.86227545,62.01117318,76.87861272,48.21428571,65.4676259,62.75862069,69.34306569,61.81818182,91.13924051,51.72413793,BP
477,GaD,13,MAY,Y8,B,A,94.8,89.08,Y14,Y16,X,C,78.2,Y20,41.50943396,56.68789809,57.57575758,70.55214724,16.39344262,44.91017964,44.13407821,63.00578035,51.78571429,69.78417266,55.86206897,81.02189781,52.72727273,53.16455696,51.72413793,MP
480,PaD,12,JUN,Y8,B,A,94.6,96.75,Y14,Y16,X,C,86.8,Y20,26.41509434,52.86624204,51.51515152,60.73619632,34.42622951,49.7005988,57.54189944,61.84971098,46.42857143,66.90647482,61.37931034,64.96350365,63.63636364,81.01265823,56.32183908,BP
481,VsJ,12,FEB,Y8,A,D,85.5,84,Y14,Y16,X,B,71.53,Y20,37.73584906,89.8089172,66.06060606,49.69325153,52.45901639,73.65269461,70.94972067,80.34682081,55.35714286,81.29496403,54.48275862,72.26277372,47.27272727,86.07594937,47.12643678,BP
482,DdA,10,SEP,Y7,A,A,89.8,80.4,Y14,Y16,X,C,81.1,Y20,47.16981132,79.61783439,56.36363636,64.41717791,47.54098361,55.68862275,63.12849162,52.60115607,46.42857143,52.51798561,66.89655172,76.64233577,74.54545455,63.29113924,81.6091954,BP
483,NhN,15,JUL,Y7,A,D,91.67,90.67,Y14,Y16,X,B,70.77,Y20,35.8490566,54.14012739,63.63636364,59.50920245,29.50819672,59.28143713,63.12849162,54.9132948,51.78571429,81.29496403,62.75862069,63.50364964,54.54545455,78.48101266,44.82758621,BP
484,JeV,14,DEC,Y7,B,A,92.4,88.4,Y14,Y16,X,C,75.9,Y20,41.50943396,74.52229299,57.57575758,58.28220859,11.47540984,47.30538922,43.01675978,49.13294798,35.71428571,55.39568345,64.13793103,53.28467153,69.09090909,73.41772152,67.81609195,MP
485,CuP,15,NOV,Y7,B,K,82,80,Y13,Y15,X,B,72.3,Y20,50.94339623,56.68789809,66.06060606,76.68711656,60.6557377,78.44311377,66.48044693,60.69364162,66.07142857,84.17266187,64.13793103,82.48175182,81.81818182,70.88607595,83.90804598,BP
487,IlS,19,JUN,Y7,A,A,74,76.5,Y14,Y16,X,B,74.7,Y20,71.69811321,73.24840764,76.96969697,86.50306748,14.75409836,54.49101796,41.89944134,60.69364162,55.35714286,69.78417266,61.37931034,75.18248175,76.36363636,93.67088608,67.81609195,BP
488,PpJ,10,SEP,Y7,A,D,92,92.17,Y14,Y16,X,B,67.84,Y20,52.83018868,65.60509554,66.06060606,71.7791411,39.3442623,65.26946108,62.01117318,54.9132948,55.35714286,64.02877698,75.17241379,75.18248175,76.36363636,73.41772152,77.01149425,BP
489,PaS,17,JAN,Y8,B,L,81.73,74.8,Y14,Y16,X,B,77.5,Y20,67.9245283,77.07006369,64.84848485,76.68711656,27.86885246,50.89820359,53.0726257,49.13294798,46.42857143,68.34532374,54.48275862,69.34306569,70.90909091,78.48101266,67.81609195,LP
494,DiK,14,MAR,Y8,B,D,90.1,84.6,Y14,Y16,X,G,75.91,Y20,60.37735849,78.34394904,63.63636364,76.68711656,55.73770492,68.86227545,60.89385475,76.87861272,66.07142857,78.41726619,79.31034483,67.88321168,87.27272727,72.15189873,73.56321839,BP
497,AaS,11,MAR,Y6,B,E,89.4,79.2,Y13,Y15,X,J,67.7,Y20,28.30188679,66.87898089,63.63636364,48.46625767,55.73770492,76.04790419,64.24581006,63.00578035,62.5,82.73381295,71.03448276,64.96350365,63.63636364,49.36708861,73.56321839,BP
499,SaD,14,AUG,Y8,B,B,78.6,78.6,Y14,Y16,X,J,78.7,Y20,22.64150943,68.15286624,55.15151515,52.14723926,26.2295082,53.29341317,46.36871508,53.75722543,58.92857143,81.29496403,66.89655172,62.04379562,70.90909091,87.34177215,73.56321839,BP
502,JiG,12,DEC,Y7,B,E,95.36,92.33,Y14,Y16,X,G,79.5,Y20,56.60377358,71.97452229,67.27272727,75.4601227,32.78688525,61.67664671,57.54189944,51.44508671,53.57142857,66.90647482,68.27586207,72.26277372,63.63636364,51.89873418,41.37931034,LP
507,MjR,10,JAN,Y6,A,D,79.2,64.8,Y13,Y16,X,G,66.69,Y20,32.0754717,63.05732484,57.57575758,57.05521472,39.3442623,61.67664671,57.54189944,53.75722543,42.85714286,43.88489209,60,70.80291971,41.81818182,54.43037975,29.88505747,MP
511,AvF,14,DEC,Y7,A,E,63.4,72.33,Y14,Y16,X,G,70.72,Y20,49.05660377,60.50955414,73.33333333,66.87116564,49.01639344,70.05988024,58.65921788,69.94219653,57.14285714,68.34532374,65.51724138,82.48175182,45.45454545,49.36708861,48.27586207,MD
515,ShG,10,SEP,Y6,A,I,84.67,83,Y14,Y16,X,J,70,Y20,56.60377358,71.97452229,69.6969697,79.14110429,63.93442623,71.25748503,73.18435754,81.50289017,69.64285714,79.85611511,75.17241379,76.64233577,80,82.27848101,59.77011494,BP
521,RnS,11,MAY,Y8,A,A,69,78.33,Y14,Y16,X,G,66.66,Y20,37.73584906,63.05732484,68.48484848,54.60122699,32.78688525,67.66467066,51.95530726,51.44508671,44.64285714,72.6618705,57.24137931,62.04379562,41.81818182,49.36708861,39.08045977,LP
523,SaJ,14,MAR,Y8,B,W,91.84,89,Y14,Y16,X,G,76.9,Y20,77.35849057,78.34394904,84.24242424,85.27607362,42.62295082,65.26946108,50.83798883,64.16184971,73.21428571,81.29496403,65.51724138,91.24087591,70.90909091,54.43037975,73.56321839,BP
525,SaA,16,JUL,Y7,B,E,96.32,92.3,Y14,Y16,X,G,74.7,Y20,71.50943396,68.15286624,81.81818182,85.27607362,45.73770492,53.29341317,75.41899441,69.94219653,71.42857143,75.53956835,80.68965517,81.02189781,61.81818182,77.21518987,68.96551724,BP
530,SaM,11,JUL,Y7,B,E,83,76.8,Y14,Y16,X,J,75.8,Y20,56.60377358,66.87898089,67.27272727,73.00613497,40.98360656,59.28143713,58.65921788,50.28901734,80.35714286,76.97841727,77.93103448,95.62043796,50.90909091,59.49367089,50.57471264,BP
533,SyR,9,OCT,Y7,B,D,76,84,Y14,Y16,X,G,67.56,Y20,52.83018868,70.70063694,60,73.00613497,19.67213115,48.50299401,43.01675978,53.75722543,50,72.6618705,58.62068966,76.64233577,52.72727273,44.30379747,48.27586207,BP
537,KnK,23,MAY,Y7,A,E,87.6,88.2,Y14,Y16,X,J,69.3,Y20,96.22641509,92.3566879,96.36363636,77.91411043,47.37704918,74.8502994,60.89385475,66.47398844,65.89285714,91.36690647,72.4137931,72.26277372,56.36363636,67.08860759,50.57471264,LP
538,DaS,10,AUG,Y6,B,D,79.8,69.4,Y13,Y15,X,J,75.8,Y20,45.28301887,66.87898089,61.21212121,73.00613497,19.67213115,55.68862275,48.60335196,60.69364162,57.14285714,74.10071942,71.03448276,67.88321168,54.54545455,87.34177215,34.48275862,BP
540,RvJ,9,MAR,Y6,A,H,84.6,76,Y13,Y15,X,J,74.9,Y20,33.96226415,65.60509554,58.78787879,58.28220859,62.29508197,80.83832335,57.54189944,80.34682081,75,89.92805755,73.79310345,78.10218978,78.18181818,62.02531646,80.45977011,BP
541,MaK,11,AUG,Y7,B,E,89.92,82.16,Y14,Y16,X,G,71.77,Y20,45.28301887,73.24840764,72.12121212,61.96319018,14.75409836,53.29341317,36.31284916,65.31791908,51.78571429,59.71223022,66.89655172,75.18248175,38.18181818,56.96202532,25.28735632,LP
542,JnB,9,OCT,Y7,A,A,86.67,92.67,Y14,Y16,X,G,72,Y20,26.41509434,68.15286624,53.93939394,54.60122699,57.37704918,61.67664671,75.41899441,66.47398844,35.71428571,51.07913669,51.72413793,75.18248175,29.09090909,67.08860759,48.27586207,BP
545,UvN,14,FEB,Y8,A,J,86.5,74.5,Y14,Y16,X,G,63.63,Y20,49.05660377,51.59235669,63.63636364,70.55214724,44.26229508,58.08383234,59.77653631,65.31791908,51.78571429,58.27338129,65.51724138,82.48175182,40,54.43037975,29.88505747,BP
549,AlM,14,JAN,Y7,A,B,76.4,74.4,Y13,Y15,X,J,68.88,Y20,45.28301887,69.42675159,51.51515152,75.4601227,90,82.03592814,82.12290503,93.06358382,58.92857143,69.78417266,57.24137931,88.32116788,69.09090909,59.49367089,68.96551724,BP
551,BmR,16,SEP,Y6,A,F,89,67,Y12,Y14,X,G,72,Y19,28.30188679,69.42675159,66.06060606,48.46625767,31.14754098,53.29341317,57.54189944,60.69364162,51.78571429,69.78417266,58.62068966,78.10218978,67.09090909,77.21518987,75.86206897,BP
554,SaB,19,MAR,Y6,B,C,85.6,87.8,Y12,Y14,W,F,73.4,Y20,15.09433962,63.05732484,68.48484848,43.55828221,59.01639344,76.04790419,64.24581006,75.72254335,50,78.41726619,62.75862069,64.96350365,56.36363636,82.27848101,45.97701149,BP
556,SmV,18,MAR,Y8,A,B,75.6,81.8,Y14,Y16,X,G,68.9,Y20,35.8490566,64.33121019,62.42424242,61.96319018,52.45901639,77.24550898,59.77653631,73.41040462,82.14285714,81.29496403,87.5862069,76.64233577,65.45454545,74.6835443,52.87356322,BP
557,SmS,16,NOV,Y6,B,B,90,81,Y14,Y16,X,G,71.01,Y20,33.96226415,68.15286624,56.36363636,66.87116564,47.54098361,66.46706587,73.18435754,57.22543353,64.28571429,82.73381295,69.65517241,73.72262774,MD,79.74683544,80.45977011,BP
560,CnG,11,OCT,Y7,A,D,89.4,85.8,Y14,Y16,X,G,75.67,Y20,66.03773585,85.98726115,76.96969697,58.28220859,55.73770492,76.04790419,68.7150838,60.69364162,71.42857143,74.10071942,80.68965517,85.40145985,56.36363636,62.02531646,50.57471264,BP
561,RrT,12,MAR,Y7,A,B,84.6,83.56,Y13,Y15,X,G,79.16,Y20,41.50943396,64.33121019,56.36363636,66.87116564,65.57377049,84.43113772,79.88826816,84.97109827,100,89.92805755,93.10344828,91.24087591,60,49.36708861,59.77011494,BP
563,AaB,22,OCT,Y7,B,A,93.6,75.33,Y14,Y16,X,G,72.4,Y20,28.30188679,54.14012739,58.78787879,58.28220859,31.14754098,48.50299401,54.18994413,53.75722543,23.21428571,42.44604317,53.10344828,63.50364964,58.18181818,62.02531646,62.06896552,BP
566,ShS,12,JAN,Y5,A,C,78,84,Y12,Y14,W,F,70.7,Y20,43.39622642,66.87898089,58.78787879,74.23312883,60.6557377,66.46706587,77.65363128,76.87861272,100,98.56115108,88.96551724,89.7810219,92.72727273,82.27848101,73.56321839,BP
568,VhH,16,AUG,Y6,A,E,80.8,91.5,Y13,Y15,X,J,64.52,Y20,79.24528302,84.7133758,87.87878788,68.09815951,65.57377049,79.64071856,72.06703911,57.22543353,80.35714286,81.29496403,79.31034483,91.24087591,94.54545455,69.62025316,82.75862069,BP
570,RlS,10,JUL,Y7,A,E,81.4,77.6,Y14,Y16,X,G,69.8,Y20,50.94339623,68.15286624,74.54545455,65.64417178,47.54098361,67.66467066,58.65921788,60.69364162,58.92857143,82.73381295,68.27586207,59.12408759,60,74.6835443,45.97701149,BP
577,AaP,12,JAN,Y8,B,D,88,86,Y14,Y16,X,J,78.45,Y20,50.94339623,74.52229299,67.27272727,66.87116564,42.62295082,60.47904192,59.77653631,58.38150289,69.64285714,81.29496403,72.4137931,81.02189781,58.18181818,77.21518987,45.97701149,BP
578,KnP,18,JUN,Y8,A,A,85.09,93.67,Y14,Y16,X,J,73.3,Y20,28.30188679,59.23566879,63.63636364,50.9202454,13.1147541,41.31736527,37.4301676,67.6300578,28.57142857,52.51798561,53.10344828,47.44525547,52.72727273,56.96202532,45.97701149,BP
580,AtM,9,JUL,Y7,A,B,88,76.8,Y13,Y15,X,J,77.8,Y20,66.03773585,91.08280255,58.78787879,80.36809816,54.09836066,53.29341317,74.30167598,72.25433526,71.42857143,87.05035971,75.17241379,73.72262774,70.90909091,79.74683544,52.87356322,BP
587,SaS,11,DEC,Y7,B,A,88,85,Y14,Y16,X,G,75.4,Y20,37.73584906,75.79617834,60,55.82822086,9.836065574,41.31736527,38.54748603,56.06936416,41.07142857,55.39568345,54.48275862,72.26277372,36.36363636,39.24050633,34.48275862,LP
588,KiM,12,AUG,Y8,B,B,88,80.6,Y14,Y16,X,G,69.97,Y20,64.1509434,65.60509554,78.18181818,61.96319018,49.01639344,64.07185629,67.59776536,66.47398844,66.07142857,82.73381295,68.27586207,79.5620438,70.90909091,87.34177215,43.67816092,BP
589,SaP,15,FEB,Y7,A,B,73.3,86.4,Y13,Y15,X,J,72.3,Y20,11.32075472,57.96178344,49.09090909,60.73619632,50.81967213,76.04790419,60.89385475,49.13294798,75,81.29496403,69.65517241,89.7810219,47.09090909,46.83544304,50.57471264,BP
591,AhR,13,SEP,Y8,A,E,78.2,86.67,Y14,Y16,X,J,64.11,Y20,62.26415094,75.79617834,74.54545455,75.4601227,54.09836066,76.04790419,70.94972067,57.22543353,62.5,75.53956835,82.06896552,56.20437956,78.18181818,62.02531646,68.96551724,BP
592,NnM,15,OCT,Y7,A,E,92.64,88.67,Y14,Y16,X,J,73.54,Y20,54.71698113,65.60509554,66.06060606,79.14110429,50.81967213,77.24550898,67.59776536,80.34682081,94.64285714,84.17266187,88.96551724,100,81.81818182,89.87341772,82.75862069,BP
602,DiC,15,NOV,Y7,B,E,91.52,87.33,Y14,Y16,X,J,70.88,Y20,39.62264151,70.70063694,67.27272727,54.60122699,34.26229508,60.47904192,51.95530726,63.00578035,57.14285714,64.02877698,69.65517241,76.64233577,56.36363636,72.15189873,55.17241379,MP
603,HiJ,12,JAN,Y8,B,E,79,66.8,Y14,Y16,X,J,70.1,Y20,54.71698113,84.7133758,64.84848485,70.55214724,34.42622951,67.66467066,62.01117318,54.9132948,51.78571429,81.29496403,55.86206897,60.58394161,49.09090909,59.49367089,39.08045977,LP
606,AaB,12,OCT,Y7,B,E,87.8,88.4,Y14,Y16,X,G,79.73,Y20,18.86792453,64.33121019,47.87878788,49.69325153,60.6557377,58.08383234,69.83240223,61.84971098,69.64285714,76.97841727,79.31034483,72.26277372,96.36363636,84.81012658,71.26436782,BP
607,UiK,11,APR,Y8,B,B,76,85,Y14,Y16,X,J,80.4,Y20,58.49056604,89.8089172,78.18181818,58.28220859,52.45901639,77.24550898,70.94972067,64.16184971,89.28571429,89.92805755,87.5862069,83.94160584,69.09090909,84.81012658,64.36781609,BP
608,RhM,16,JAN,Y8,A,M,80.6,85.16,Y14,Y16,X,G,68.29,Y20,49.05660377,64.33121019,69.6969697,65.64417178,32.78688525,54.49101796,55.30726257,50.28901734,66.07142857,69.78417266,62.75862069,92.70072993,54.54545455,54.43037975,36.7816092,BP
